,brand,mileage,deposit,number_of_miles,first_registration,duration,monthly_fee,horsepower,kilowatts,fuel_type,emissions,consumption
0,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"239,00 €",125 PS,92 kW,Benzin,97 g/km,"4,3 l/100 km"
1,Nissan,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"379,00 €",158 PS,116 kW,Benzin,125 g/km,"5,5 l/100 km"
2,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"319,00 €",155 PS,114 kW,Benzin,119 g/km,"5,2 l/100 km"
3,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"415,00 €",190 PS,140 kW,Benzin,157 g/km,"6,9 l/100 km"
4,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"409,00 €",245 PS,180 kW,Benzin,149 g/km,"6,5 l/100 km"
5,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"299,00 €",110 PS,81 kW,Benzin,110 g/km,"4,8 l/100 km"
6,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"397,00 €",150 PS,110 kW,Benzin,126 g/km,"5,5 l/100 km"
7,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"399,00 €",150 PS,110 kW,Benzin,115 g/km,"5,0 l/100 km"
8,MG,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"229,00 €",170 PS,125 kW,Elektro,,
9,Fiat,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"99,00 €",69 PS,51 kW,Benzin,112 g/km,"4,9 l/100 km"
10,Volvo,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"355,81 €",197 PS,145 kW,Diesel,155 g/km,"5,9 l/100 km"
11,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"245,00 €",156 PS,115 kW,Elektro,,
12,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"159,00 €",95 PS,70 kW,Benzin,130 g/km,"5,7 l/100 km"
13,Toyota,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"350,53 €",122 PS,90 kW,Hybrid,115 g/km,"4,9 l/100 km"
14,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"168,00 €",131 PS,96 kW,Benzin,109 g/km,"4,8 l/100 km"
15,Fiat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"199,00 €",118 PS,87 kW,Elektro,,
16,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"178,00 €",131 PS,96 kW,Benzin,109 g/km,"4,8 l/100 km"
17,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"229,00 €",156 PS,115 kW,Elektro,,
18,Toyota,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"330,51 €",122 PS,90 kW,Hybrid,115 g/km,"4,9 l/100 km"
19,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"248,00 €",156 PS,115 kW,Elektro,,
20,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"144,00 €",80 PS,59 kW,Benzin,124 g/km,"5,5 l/100 km"
21,MG,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"207,05 €",170 PS,125 kW,Elektro,,
22,Seat,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,12 Monate (anpassbar),"117,81 €",110 PS,81 kW,Benzin,132 g/km,"5,8 l/100 km"
23,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"149,00 €",100 PS,74 kW,Benzin,124 g/km,"5,5 l/100 km"
24,Jeep,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"248,38 €",156 PS,115 kW,Elektro,,
25,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"164,00 €",131 PS,96 kW,Benzin,123 g/km,"5,4 l/100 km"
26,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"407,77 €",150 PS,110 kW,Diesel,140 g/km,"5,3 l/100 km"
27,Dacia,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"111,11 €",45 PS,33 kW,Elektro,,
28,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"259,43 €",150 PS,110 kW,Benzin,143 g/km,"5,5 l/100 km"
29,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"222,00 €",131 PS,96 kW,Benzin,135 g/km,"6,0 l/100 km"
30,Fiat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"198,97 €",118 PS,87 kW,Elektro,,
31,DS Automobiles,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,12 Monate (anpassbar),"177,00 €",130 PS,96 kW,Diesel,148 g/km,"5,3 l/100 km"
32,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"165,41 €",131 PS,96 kW,Benzin,140 g/km,"6,2 l/100 km"
33,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"436,00 €",150 PS,110 kW,Diesel,140 g/km,"5,3 l/100 km"
