,registration,milage,duration,fee,emission,consumption,horsepower,brand,model,gear,fuel
0,2,201.0,48.0,574.01,119.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
1,2,201.0,48.0,382.58,131.0,6.0,95.0,Volkswagen,T-Cross VW Life TSI,Manuelle Schaltung,Benzin
2,7,15000.0,48.0,239.62,120.0,5.0,80.0,Seat,Ibiza Austria Edition,Manuelle Schaltung,Benzin
3,4,1.0,48.0,309.11,127.0,6.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
4,41,105301.0,48.0,587.75,138.0,5.0,190.0,Audi,A4 Avant 40 TDI quattro S line,Automatik,Diesel
5,35,18903.0,48.0,256.33,126.0,6.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
6,8,48000.0,48.0,539.72,135.0,5.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
7,53,105750.0,48.0,255.85,109.0,4.0,116.0,Volkswagen,Golf VW Variant TDI SCR,Manuelle Schaltung,Diesel
8,50,135173.0,48.0,362.57,119.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
9,2,201.0,48.0,574.01,131.0,6.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
10,2,201.0,48.0,382.58,120.0,5.0,95.0,Volkswagen,T-Cross VW Life TSI,Manuelle Schaltung,Benzin
11,7,15000.0,48.0,239.62,127.0,6.0,80.0,Seat,Ibiza Austria Edition,Manuelle Schaltung,Benzin
12,4,1.0,48.0,309.11,138.0,5.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
13,41,105301.0,48.0,587.75,126.0,6.0,190.0,Audi,A4 Avant 40 TDI quattro S line,Automatik,Diesel
14,35,18903.0,48.0,256.33,135.0,5.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
15,8,48000.0,48.0,539.72,109.0,4.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
16,53,105750.0,48.0,255.85,115.0,5.0,116.0,Volkswagen,Golf VW Variant TDI SCR,Manuelle Schaltung,Diesel
17,50,135173.0,48.0,362.57,109.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
18,34,73940.0,48.0,437.7,138.0,5.0,150.0,Volkswagen,Passat VW Variant Business TDI SCR DSG,Automatik,Diesel
19,52,57909.0,48.0,242.28,101.0,4.0,86.0,Seat,Leon Kombi Reference TSI,Manuelle Schaltung,Benzin
20,31,43620.0,48.0,604.6,120.0,5.0,204.0,Audi,A4 Limousine 40 TDI S line quattro,Automatik,Diesel
21,35,39941.0,48.0,299.72,162.0,6.0,125.0,Ford,"Focus Traveller 1.0 ECO LED,Navi,WSS+SHZ",Manuelle Schaltung,Benzin
